Roman-Urdu,Urdu
pension,پنشوں
za,زہ
dadi,دادی
msg,میسجج
pio,پیو
born2love,بورن
ho,حو
thandi,ٹھنڈی
faida,فائدہ
shadi,شادی
amal,عمل
engineering,انجیرننگ
peety,پیتے
fight,فٔٹ
rhi,رهی
maray,مریں
asar,اثر
mere,میرے
0000fun(ghazal)pen,پین
maazi,ماضی
chance,چانس
baloch,بلوچ
be,بے
kho,کھو
meet,ميٹ
r,ر
thirst,تھرسٹ
yad,ید
sta,ستا
parti,پڑتی
joy,جوي
chashni,چاشنی
tayarun,تیاریاں
death,ڈيتھ
shabnam,شعبان
enough,انوگف
iltija,التجا
country,کينٹري
attractive,يٹٹراسٹٔو
don,ڈان
bande,بندے
un,ان
brother,بروتھر
ye,ے
never,رین
kahani,کہانی
harnay,ہارنے
shariq,شارق
itaa'at,اطاعت
zara,زرا
faraat,فرات
nuqsan,نقصان
btaon,بتاوں
nama,نامہ
6,6
nisbat,نسبت
khushbo,خشبو
basana,بسانا
khan,کہن
monday,مونڈے
zarad,رنگت
barfee,برفی
behoda,بیہودہ
com,کوم
het,ہیٹ
ashes,اشيس
ra,رحمت
a,آرہی
morkha,مورخہ
misuse,مسےوز
tusi,تسی
shaairi,شعروشاعری
buland,بلند
bismillah,للہ
bajti,بجتی
hath,ھاتھ
jari,جاری
shehar,شہر
taqazoon,تقاضوں
mehndi,مہندی
insan,انسان
detail,تفصیل
membro,ممبروں
remember,ريميمبير
30,30
usaysagar,اترنے
goli,گولی
sinar,سنار
khiltay,کھلتے
never,نئور
torny,توڑنے
january,جانياري
arshad,ارشاد
faqiron,فقیروں
lali,لالی
mudat,مدت
saim,صائم
net,نیٹ
stand,سٹانڈ
phool,پھول
follow,فالو
thunder,ٹهندر
force,فورس
small,سمول
thanda,ٹھنڈا
habibjaan,حبیب
madiha,مدیحہ
marty,مارتے
jety,جیتنے
acceptance,اکسيپٹانس
wapis,واپس
azab,عزاب
thakan,تھکن
dute,ڈیوٹی
hahahahahaha,ہاہا
jeene,جینے
sarkon,سڑکوں
pe,پے
late,لیٹ
shareef,شریف
vaadon,وعدوں
express,ایکسپریس
sahaba,صحابہ
jaan,ج
akele,اکیلے
do,ڈو
ajao,آجاؤ
oppression,وپپريسون
khiladi,خلاد
khake,خاکی
hath,ہاته
shakhoon,شاخوں
koko,کوکو
hifazat,حفاظت
tafre,تفری
s0chay,سوچے
maad,ماد
intro,اِنٹرو
kitabon,کتابوں
gay,گے
capton,کپتان
peche,پیچھے
jauf,جوف
larki,لڑکی
tarefen,تعریفیں
chehra,چہرہ
sanwal,وال
jotey,جوتے
maat,مال
zero,ذيرو
horse,حورسي
save,سأو
esha,عشا
fir,فر
krwana,کروانا
sky,سکي
jitna,جتنا
nawaqif,ناواقف
unhain,انھیں
romantic,رومیٹک
betho,بیٹھو
krdo,کردو
kabotar,کبوتر
chor,چھوڑ
rota,روتا
rashk,رشک
ary,ارے
aane,انے
mojood,موجود
e,اوبیڈی
gaaon,گاوں
copy,کوپی
ghor,گھوڑ
itla,اطلاع
pal,پل
ghair,غير
body,بوڈی
hushe,ہوش
bari,بڑی
sajan,ساجن
waqai,واقعی
masala,مسالا
tukara,ٹکڑا
munkir,منکر
mutha,مٹھا
naib,نائب
blame,بلیم
rakhti,رکھتی
cinema,سینما
poetry,پؤئٹری
baber,بابر
dont,دونٹ
dawaa,دعوا
shuru,شروع
letilarke,رس
adhi,آدھی
bolen,بولیں
heaven,حئون
raha,رھا
funz,فونز
taar,تاڑ
humor,حمو
banna,بننا
dikhane,دکھانے
grace,گريس
ahmar,احمر
bary,بڑے
farazsindhi,سندھ
punjab,پنجاب
seng,سینگ
qaadri,قادری
asal,اصل
danger,ڈینجر
use,يوز
main,میں
krwai,کروائی
wabasta,وابسطہ
gum,گوم
dera,دیرا
angoor,انگور
aryan,ارین
z@¤firaq1,فاروقی
waja,وجہ
aas,آس
humdard,ہمدرد
mscit,مسکت
zarur,ضرور
baryani,بریانی
books4,بوکس
speak,اسپيک
badal,بدل
match,مچ
leky,لکھے
pelai,پھیلائی
sonia,سونیا
allah,اللاه
rehta,رہتا
taiz,تیز
tahir,طاہر
fareb,فریب
deni,دینی
had,حد
ujar,اجاڑ
neture,نیچر
larkana,لاڑکانا
turn,ٹيرن
info,انفو
pare,پڑے
pol,پول
none,نونی
krti,کرتی
roopa,روپا
qbz,قبض
1000,١٠٠٠
nahi,نھیں
lasting,لاسٹنگ
flower,فلوير
jaib,جیب
shikast,شکست
mutala,مطالعہ
ranjish,رنجش
bahir,باہر
people,پيوپل
bhataknay,بھٹکنے
sani,سانی
saya,سیا
asool,اصول
mhtab,مہتاب
lagna,لگنا
lrny,لڑنے
darya,دریا
justice,جيسٹس
rabi,رابی
yr,یر
reject,ریجیکٹ
amjid,امجد
rakhte,رکهتے
bettary,بیٹری
today,ٹوڈے
sari,سری
tanha,تنہا
sunday,سانڈے
aalam,عالم
alin8,الینا
hzrat,حضرات
petrol,پيٹرول
side,سادے
kaghaz,کاغذ
absence,ابسنس
1,۱
bhar,بھر
neki,نیکی
yaraan,یاران
dlata,دلاتا
pkrnay,پکڑنے
undrwere,انڈر
yazeed,یزید
kapro,کپڑوں
chezon,چیزوں
kaho,کہو
muskra,مسکرا
haya,حیا
global,گلوبل
rema,ریما
khaty,کھاتے
baith,بیٹه
to,تو
maghrur,مغرور
hogi,ہوگئی
bachpan,بچپن
khwa,خوا
quality,کوالٹي
incorrect,انسورريکٹ
brtan,برتن
milo,ملو
drwazay,دروازے
useful,يسيفيل
confirm,کونفرم
july,جولائی
paigham,پیغام
membr,ممبر
behna,بہنا
storm,سٹورم
ando,انڈو
wrd,ورڈ
ghaflat,غفلت
apko,اپکو
original,ورگنال
jhot,جھٹ
intazam,انتظام
bhai,بھای
sekhy,سیکھے
qasim,قاسم
water,واٹر
choo,چو
noshee,نوشی
jante,جانتے
kash,کاش
paheli,پھیلی
killer,کیللر
telenor,ٹیلی
dukhaya,دکھایا
gujranwala,گجرانوالا
later,لاٹر
mazdoor,مزدور
shid,شد
akhir,آخر
jazbat,جذبات
mahol,ماحول
ch,چوہدری
mrb,مربی
zeus,زیوس
gaya,گیاہ
aalaat,آلات
sahil,ساحل
new,نیو
chek,چیک
coca,کوکا
sunday,سنڈے
kiti,کیٹی
seriali,سیریل
lazy,لاذي
bazti,عزتی
garhi,گڑھی
tu,توں
28,٢٨
behrani,بحرانی
nepal,نپال
notice,نوٹس
300,٣٠٠
16,16
mardon,مردوں
beti,بیٹی
number,نيمبير
kumar,کمار
tongue,ٹونگيي
membrz,ممبرز
parhne,پڑھنے
kamaw,کما
beauty,بیوٹی
pukhtoonkhva,پختون
ikhtiyar,اختیار
bath,باتھ
adhora,ادھو
hbh,ہبہ
wo,وو
lutf,لطف
zubani,زبانی
bijli,بجلی
darmian,درمیان
sa,سا
gane,گانے
ahwal,احوال
pakana,پکانا
tazi,تازی
reed,رید
paar,پار
nehr,نہر
jaya,جایا
nadani,نادانی
hota,هوتا
khuley,کھلے
san,ساں
means,مینس
alert,اليرٹ
hajoom'e'dostan,ہجوم
sheya,شیعہ
josh,جوش
lift,لیفٹ
bhari,بھری
talash,تلاش
an,انتھ
hua,ھوا
hasil,حاصل
likhen,لکھیں
wajib,واجب
faisal,فیصل
shanti,شانت
kb,کب
zameerkon,ضمیر
nazarechopal,نظارے
rubaro,روبرو
aasoodgi,آسودگی
udas,اداس
boy,بو
ras,راس
complete,کومپلٹ
ghairon,غیروں
hate,ہاتے
pathano,پٹھانوں
10,١٠
kafiyat,کفایت
choza,چوزہ
chahte,چاہتے
request,ریکوسٹ
green,گرین
m,محمّد
aps,آپس
ilaan,علان
zy,ذی
jenai,جینی
wada,وعدہ
rida,ردا
utha,اٹھا
hujre,حجرے
chand,چاند
free,فري
dhoni,دھونی
bubli,ببلی
charming,چارم
1999,۱۹۹۹
aanch,آنچ
kheli,کھیلی
zeal,ذيل
thirty,تھرٹي
14,١٤
farag,فارغ
window,ونڈو
whealr,وہیلر
7,٧
india,انڈیا
dafa,دفع
rahat,راحت
hadees,حدیثِ
mzahya,مزاحیہ
shown,شون
adnan,عدنان
tmhari,تمھاری
pryshani,پریشانی
suno,انو
shadabitumhein,شادابی
huma,ہما
choriyan,چوریاں
anis,انیس
sali,سالی
saima,ساما
dozkhi,دوزخی
hot,حوٹ
abass,عباس
letay,لیتے
faheem,فاحيم
btaya,بتایا
girls,گرلس
mint,منٹ
injustice,انجيسٹس
nafratonka,نفرتوں
getsensiblehi,گیٹ
mere,ميرے
family,فاملي
j,جے
borhi,بوڑھی
minute,منيٹي
gehri,گہری
bal,بال
dant,دانت
jahaz,جہاز
sincere,سنسیر
curtain,کرٹين
dono,دونوں
samjhaya,سمجھایا
hai,هے
dekhte,دیکھتے
afghanistan,افغانستان
pseibbpu,پسی
w,والسلام
kha,کھا
aan,آں
jazb,جذب
tangy,ٹانگیں
phoolon,پھولوں
kuriyan,کڑیاں
sitaron,ستاروں
thing,تھنگ
sarkar,سرکار
punch,پينچ
maanind,مانند
khayalon,خیالوں
krwat,کروٹ
manga,مانگا
kashish,کشش
cry,کري
bunk,بنک
reply,ریپلاے
gujraat,گجرات
jata,جاتا
zikr,ذکر
happy,ح
jan'na,جاننا
jane,جانے
network,نیٹورک
bheja,بھیجا
load,لؤڈ
beta,بیٹا
tumhary,تمہارے
send,سیند
aa'oonga,آونگا
yaki,یکی
cha,چا
nasha,نعش
adhore,ادھورے
pati,پاتی
dhammal,دھمال
chala,چلا
shabab,شباب
dozakh,دوزخ
kandhar,کاندهار
heroz,ہیروز
ghar,غار
bolne,بولنے
find,فنڈ
kala,کالا
wicto,وکٹوں
khaloos,خلوص
ajata,آجاتا
saani,سان
ghour,غور
bechta,بیچتا
bethe,بیٹھے
sakhi,سخی
parinde,پرندے
dekhun,دیکھوں
dikha,دکھا
lagao,لگاو
ghora,گھوڑا
ishthr,اشتہار
parhi,پڑھی
durtyguy345,ڈرٹی
hazar,ہزار
naali,نالی
zahir,ظاہر
health1,ہیلتھ
rasm,رسم
teen,تين
dhammal,دھم
starz,سٹارز
bat,بات
pyasa,پیاسا
chahti,چاہتی
mohar,موہر
matam,ماتم
he,حي
sikha,سکھا
fahim,فہیم
safdr,صفدر
sultan,سلطان
suraj,سورج
geet,گیت
soda,سودا
khakar,کھاکر
urr,اڑ
chlen,چلیں
past,پاسٹ
enjoy,ینجوے
report,ريپورٹ
pusht,پشت
ginty,گنتی
thin,تھن
talib,طالب
karachi,کراچی
whenevr,وین
print,پرنٹ
kro,کرو
naqsh,نقش
goliyan,گولیاں
ang,انگ
isly,اسلی
farq,فرق
sb,سب
yell,ييل
etc,يٹس
morning,مورنگ
bazm,بزم
gali,گالی
tango,ٹانگوں
dhali,ڈھلی
jinho,جنهوں
furniture,فيرنٹير
personal,پرسونل
samait,سمیٹ
uthe,اٹھے
galyon,گلیوں
kahi,کہی
milna,ملنا
khana,کهانا
b,بھی
nigah,نگاہ
soty,سوتے
faisal,فيسال
shana,شانہ
kaamyab,کامیاب
chori,چوری
tel,تیل
milatay,ملاتے
dekhny,دیکھنے
jaaun,جون
gulam,غلام
khadim,خادم
fiza,فضا
lamp,لامپ
jhote,جھوٹے
kashmir,کشمیر
justaju,جستجو
42,٤٢
marwa,مروا
adhi,ادھ
rani,رانی
different,ڈففيرينٹ
bnati,بناتی
ameer,امیر
dew,ڈیو
aks,عکس
bazar,بازار
dastan,داستان
piyase,پیاسے
professor,پروفسثور
jmi,جمی
deep,ڈيپ
mara,مارا
teer,تیر
pk,پک
guzrna,گزرنا
jinki,جنکی
wajid,واجد
gumnam,گمنام
ghair,غیر
drust,درست
nazim,ناظم
ilzaam,الزام
sargoshiyanteri,سرگوشیاں
guzar,گزار
wan,واں
mehfilon,محفلوں
hai,ہے
ko,کؤ
profile,پروفائل
9,۹
q,کیہں
eman,امان
daro,ڈرو
salamat,سلامت
parwa,پروا
narazgi,ناراضگی
phephron,پھیپھڑوں
parosi,پڑوسی
sabhi,سبھی
beat,بيٹ
istiqbal,استقبال
waqi,واقع
bolti,بولتی
march,مارچ
know,کنو
kafee,کافي
jamhuriyat,جمہوریت
semple,سمپل
aayat,آیت
apki,آپکی
murgha,مرغا
umat,امت
soghat,سوغات
rj,رج
hell,هیل
syd,سید
bant,بانٹ
pehchanta,پہچانتا
dhool,دھول
raat,رات
neend,نیند
zaroriat,ضروریات
zeshan,ذیشان
muhammed,ميحامميڈ
raza,رضا
6,٦
munibe,منیب
rm,رم
guzarti,گزرتی
nayab,نایاب
romi,رومی
chahiye,چاہیے
frd,فرد
dhote,دھوتے
farhad0786,فرہاد
kashif,کاشف
khalifa,خلیفہ
haris,حارس
inteqal,انتقال
para,پڑا
aabad,اباد
shrmila,شرمیلا
bechari,بیچاری
saaf,صاف
salman,سلمان
uff,اف
ehbaab,احباب
rom0,رومو
just,جيسٹ
tamasha,تماشا
zoya,زویہ
lagao,لاگو
majeed,مجید
riohfz,ریو
hi,ہاے
gaze,گاز
jawani,جوانی
rah,راه
libas,لباس
direct,ڈريکٹ
masoom,معصوم
kehta,کہتا
karden,کردیں
indians,انڈین
najumi,نجومی
apart,اپارٹ
infidel,انفڈيل
bechaini,بیچینی
hansta,ہنستا
dakhi,دکھی
lia,لیا
mera,ميرا
safhon,صفحوں
mata,متا
choos,چوس
shamil,شامل
dor,دوڑ
aitbaar,اعتبار
sweetpari22,ویت
jati,جاتی
katrina,کترینا
sochta,سوچتا
life,لایف
mother,موتھ
hi,ہائے
hello,حيللو
haara,ہارا
ahsan,احسن
btata,بتاتا
hurf,حرف
musafir,مسافر
likhta,لکھتا
jhuk,جھک
lazim,لازم
bazi,بازی
nai,نی
thehra,ٹھہرا
bhot,بھوت
makan,مکان
hope,هوپ
momigulzindagi,مومی
ruswa,رسوا
dino,دنوں
ruka,رکا
kharidaar,خریدار
tabhi,تبھی
jaiso,جیسوں
gustaakh,گستاخ
sohni,سوہنی
pan,پان
nechay,نيچے
nasheen,نشین
gila,گلا
best,بيسٹ
zameen,زمین
naya,نيا
jor,جور
dene,دینے
shafiqahmad,شفیق
nshan,نشاں
zaat,زات
lipti,لپٹی
mauj0on,موجوں
tameer,تعمير
dude,ددے
tijarat,تجارت
ashamed,اشاميڈ
8,٨
ston,سٹون
ujre,اجڑے
noise,نوسي
bachon,بچوں
suna,سنا
ky,کیے
lao,لاؤ
umar,يمار
nahi,نہانے
der,دار
dosry,دوسرے
zahbi,ظہبی
soratehal,صورتحال
saly,سالے
